Brand Name,Product Name,Category,Fragrance Type,Volume (ml),Price (INR),Long-lasting (hours),Alcohol-Free,Skin-Friendly,Anti-Perspirant,Customer Rating,Number of Reviews,Manufacturing Date,Expiry Date,Country of Origin,Packaging Type,Shelf Life (Months),Sales in Last Month (Units),Online Availability,Discount (%),Retailer Name
Envy Deo,Variant 19,Unisex,Oriental,250,677,15,Yes,Yes,Yes,3.5,2890,2030-08-03,2032-08-02,India,Roll-on,36,3391,No,17,Local Store
Denver Deo for Men,Variant 22,Unisex,Citrus,200,674,8,No,No,Yes,3.9,3993,2030-08-04,2032-08-03,India,Spray,15,2210,No,45,Nykaa
Nivea,Variant 14,Unisex,Spicy,200,218,4,Yes,Yes,Yes,3.4,1280,2030-08-05,2032-08-04,India,Roll-on,22,4819,Yes,42,Flipkart
Nike Deodorant,Variant 34,Unisex,Spicy,250,369,12,Yes,No,Yes,3.9,3200,2030-08-06,2032-08-05,India,Roll-on,24,3550,Yes,29,Nykaa
Park Avenue Deodorant,Variant 39,Women,Aquatic,200,237,6,No,No,Yes,3.5,3684,2030-08-07,2032-08-06,India,Stick,27,9444,No,22,Myntra
Envy Deo,Variant 17,Unisex,Floral,200,291,21,Yes,No,No,3.3,3267,2030-08-08,2032-08-07,India,Roll-on,14,5969,No,49,Amazon
Engage Deo,Variant 47,Women,Oriental,250,366,9,No,No,Yes,4.1,581,2030-08-09,2032-08-08,India,Roll-on,15,4840,Yes,43,Nykaa
Rexona Deodorant,Variant 17,Unisex,Floral,150,500,11,No,Yes,No,4.5,2065,2030-08-10,2032-08-09,India,Stick,22,7303,Yes,13,Nykaa
Rexona Deodorant,Variant 12,Unisex,Aquatic,250,581,23,No,Yes,Yes,3.0,667,2030-08-11,2032-08-10,India,Roll-on,32,1629,Yes,1,Amazon
Nivea,Variant 20,Men,Aquatic,200,468,7,No,No,Yes,2.5,4379,2030-08-12,2032-08-11,India,Stick,24,2902,Yes,49,Flipkart
Nike Deodorant,Variant 47,Women,Citrus,150,431,16,No,No,Yes,4.5,2554,2030-08-13,2032-08-12,India,Spray,15,1160,Yes,35,Nykaa
Envy Deo,Variant 19,Men,Spicy,100,354,15,Yes,No,No,4.2,3497,2030-08-14,2032-08-13,India,Spray,22,3697,Yes,42,Nykaa
Nivea,Variant 39,Unisex,Woody,100,405,6,Yes,Yes,No,2.8,59,2030-08-15,2032-08-14,India,Stick,21,7146,No,37,Myntra
Rexona Deodorant,Variant 12,Men,Floral,150,280,4,No,No,Yes,4.6,3786,2030-08-16,2032-08-15,India,Stick,31,3666,Yes,21,Nykaa
Envy Deo,Variant 12,Men,Aquatic,150,395,21,No,No,Yes,3.3,2911,2030-08-17,2032-08-16,India,Roll-on,25,9523,No,36,Flipkart
Denver Deo for Men,Variant 12,Men,Citrus,250,625,12,Yes,No,Yes,4.6,1458,2030-08-18,2032-08-17,India,Stick,36,2086,Yes,47,Myntra
Park Avenue Deodorant,Variant 5,Men,Woody,150,255,18,No,No,Yes,2.6,1723,2030-08-19,2032-08-18,India,Stick,20,8296,Yes,16,Flipkart
Rexona Deodorant,Variant 47,Unisex,Fresh,150,644,6,Yes,No,No,4.5,1060,2030-08-20,2032-08-19,India,Stick,30,9890,Yes,9,Amazon
Park Avenue Deodorant,Variant 7,Unisex,Fruity,200,166,13,Yes,No,No,2.8,1003,2030-08-21,2032-08-20,India,Stick,33,9964,Yes,30,Amazon
Fogg Deo,Variant 23,Women,Fresh,150,689,19,No,No,Yes,3.8,1034,2030-08-22,2032-08-21,India,Spray,32,1527,Yes,5,Flipkart
Engage Deo,Variant 24,Women,Woody,150,700,11,No,Yes,No,4.2,922,2030-08-23,2032-08-22,India,Stick,25,5173,Yes,4,Nykaa
Park Avenue Deodorant,Variant 28,Unisex,Citrus,100,475,10,Yes,Yes,No,4.0,3372,2030-08-24,2032-08-23,India,Stick,36,8334,Yes,37,Nykaa
Fogg Deo,Variant 31,Unisex,Fruity,150,619,23,Yes,No,No,3.6,951,2030-08-25,2032-08-24,India,Stick,32,1763,No,18,Local Store
Rexona Deodorant,Variant 48,Men,Fruity,150,331,16,No,No,Yes,3.2,4325,2030-08-26,2032-08-25,India,Stick,22,9476,Yes,18,Myntra
Rexona Deodorant,Variant 46,Men,Fresh,100,206,6,No,Yes,No,4.8,4190,2030-08-27,2032-08-26,India,Spray,18,6790,Yes,8,Local Store
Nike Deodorant,Variant 28,Women,Fruity,100,391,5,No,No,No,3.2,1983,2030-08-28,2032-08-27,India,Spray,16,9899,Yes,48,Myntra
Fogg Deo,Variant 4,Unisex,Aquatic,150,163,23,Yes,Yes,No,2.9,1357,2030-08-29,2032-08-28,India,Stick,32,3481,Yes,22,Nykaa
Denver Deo for Men,Variant 32,Women,Fresh,200,672,11,No,No,No,2.6,521,2030-08-30,2032-08-29,India,Roll-on,12,4291,No,21,Myntra
Fogg Deo,Variant 32,Women,Fruity,200,597,20,Yes,No,No,2.8,915,2030-08-31,2032-08-30,India,Roll-on,20,7288,Yes,47,Flipkart
Nike Deodorant,Variant 47,Women,Oriental,150,383,8,No,Yes,Yes,4.4,4120,2030-09-01,2032-08-31,India,Stick,29,8508,Yes,32,Local Store
Denver Deo for Men,Variant 10,Unisex,Oriental,100,653,13,No,Yes,No,4.4,2367,2030-09-02,2032-09-01,India,Spray,13,2083,No,30,Local Store
Nivea,Variant 6,Unisex,Spicy,200,402,13,No,No,Yes,3.5,982,2030-09-03,2032-09-02,India,Roll-on,15,6349,No,26,Amazon
Envy Deo,Variant 27,Women,Floral,200,555,8,Yes,Yes,No,2.6,3646,2030-09-04,2032-09-03,India,Stick,33,7895,No,45,Nykaa
Engage Deo,Variant 19,Women,Spicy,100,333,18,No,No,Yes,4.7,3547,2030-09-05,2032-09-04,India,Stick,16,1634,No,34,Flipkart
Envy Deo,Variant 6,Unisex,Aquatic,250,482,12,Yes,Yes,No,3.2,4972,2030-09-06,2032-09-05,India,Spray,24,2557,Yes,37,Amazon
Park Avenue Deodorant,Variant 45,Women,Aquatic,200,513,12,No,Yes,Yes,3.4,3988,2030-09-07,2032-09-06,India,Roll-on,35,9873,No,26,Amazon
Denver Deo for Men,Variant 11,Women,Citrus,250,243,15,No,Yes,Yes,4.1,1460,2030-09-08,2032-09-07,India,Spray,31,6112,No,13,Local Store
Denver Deo for Men,Variant 25,Men,Oriental,150,502,9,Yes,Yes,Yes,3.0,2298,2030-09-09,2032-09-08,India,Spray,24,9677,No,25,Amazon
Rexona Deodorant,Variant 46,Men,Aquatic,100,476,8,Yes,Yes,Yes,4.2,28,2030-09-10,2032-09-09,India,Stick,36,5382,No,34,Nykaa
Nike Deodorant,Variant 21,Women,Woody,200,432,9,Yes,Yes,Yes,4.1,2805,2030-09-11,2032-09-10,India,Stick,14,2011,Yes,3,Nykaa
Fogg Deo,Variant 20,Women,Fruity,150,657,16,No,No,Yes,4.0,705,2030-09-12,2032-09-11,India,Stick,15,9773,Yes,29,Myntra
Fogg Deo,Variant 3,Unisex,Fruity,250,482,16,Yes,No,No,3.1,33,2030-09-13,2032-09-12,India,Roll-on,13,8337,Yes,25,Flipkart
Rexona Deodorant,Variant 13,Men,Aquatic,100,247,13,Yes,Yes,No,3.9,2267,2030-09-14,2032-09-13,India,Stick,19,551,No,46,Amazon
Denver Deo for Men,Variant 7,Men,Oriental,200,155,23,Yes,Yes,Yes,3.7,1819,2030-09-15,2032-09-14,India,Roll-on,33,6716,Yes,7,Local Store
Engage Deo,Variant 26,Women,Fresh,250,588,16,No,No,No,3.9,3576,2030-09-16,2032-09-15,India,Stick,18,1908,No,28,Nykaa
Engage Deo,Variant 49,Men,Aquatic,150,534,18,Yes,No,Yes,3.5,1682,2030-09-17,2032-09-16,India,Roll-on,23,2500,Yes,34,Nykaa
Fogg Deo,Variant 23,Unisex,Fruity,100,689,17,Yes,Yes,No,2.6,4203,2030-09-18,2032-09-17,India,Stick,18,3842,No,48,Local Store
Rexona Deodorant,Variant 25,Women,Aquatic,100,170,11,No,Yes,No,5.0,2597,2030-09-19,2032-09-18,India,Roll-on,26,7090,No,0,Nykaa
Envy Deo,Variant 48,Men,Fruity,150,532,9,Yes,No,No,4.9,4651,2030-09-20,2032-09-19,India,Roll-on,16,1347,Yes,16,Flipkart
Rexona Deodorant,Variant 17,Women,Aquatic,200,526,9,Yes,No,No,3.2,4680,2030-09-21,2032-09-20,India,Roll-on,16,4218,No,0,Myntra
Nivea,Variant 16,Unisex,Woody,100,482,10,No,No,Yes,3.9,734,2030-09-22,2032-09-21,India,Roll-on,13,2337,No,48,Nykaa
Engage Deo,Variant 37,Men,Fresh,200,298,9,Yes,Yes,No,4.3,15,2030-09-23,2032-09-22,India,Roll-on,17,480,No,5,Myntra
Fogg Deo,Variant 30,Unisex,Floral,200,661,16,No,No,Yes,3.4,1554,2030-09-24,2032-09-23,India,Roll-on,28,1366,No,39,Local Store
Denver Deo for Men,Variant 5,Men,Oriental,100,472,5,Yes,Yes,Yes,4.6,4275,2030-09-25,2032-09-24,India,Roll-on,23,8611,Yes,20,Nykaa
Fogg Deo,Variant 50,Men,Fresh,150,169,7,Yes,No,Yes,4.4,1559,2030-09-26,2032-09-25,India,Stick,32,5009,No,13,Local Store
Nivea,Variant 36,Women,Citrus,250,303,16,No,Yes,Yes,4.4,1235,2030-09-27,2032-09-26,India,Spray,23,4850,Yes,21,Local Store
Denver Deo for Men,Variant 31,Men,Oriental,250,371,14,Yes,Yes,No,2.9,1026,2030-09-28,2032-09-27,India,Roll-on,26,6223,Yes,11,Amazon
Fogg Deo,Variant 49,Women,Spicy,100,693,19,No,No,No,3.4,3744,2030-09-29,2032-09-28,India,Roll-on,16,8177,No,2,Nykaa
Denver Deo for Men,Variant 24,Women,Aquatic,100,628,10,Yes,No,Yes,2.5,3047,2030-09-30,2032-09-29,India,Stick,35,6318,No,47,Amazon
Fogg Deo,Variant 11,Women,Citrus,100,245,21,No,Yes,No,3.6,4951,2030-10-01,2032-09-30,India,Stick,22,2719,No,23,Myntra
Nivea,Variant 16,Men,Citrus,250,639,16,Yes,Yes,No,2.5,4808,2030-10-02,2032-10-01,India,Roll-on,23,4688,No,9,Nykaa
Engage Deo,Variant 44,Men,Citrus,150,300,10,Yes,Yes,No,3.6,543,2030-10-03,2032-10-02,India,Spray,18,120,No,2,Local Store
Park Avenue Deodorant,Variant 6,Women,Aquatic,100,569,23,No,No,Yes,2.6,4554,2030-10-04,2032-10-03,India,Roll-on,14,6922,No,45,Local Store
Envy Deo,Variant 2,Men,Floral,150,292,7,Yes,Yes,No,4.5,4013,2030-10-05,2032-10-04,India,Stick,23,9354,No,21,Nykaa
Engage Deo,Variant 38,Unisex,Fresh,200,485,24,No,Yes,Yes,3.9,2631,2030-10-06,2032-10-05,India,Roll-on,16,8826,No,32,Amazon
Envy Deo,Variant 9,Men,Spicy,200,443,10,Yes,No,Yes,4.1,4281,2030-10-07,2032-10-06,India,Stick,36,2008,No,12,Nykaa
Envy Deo,Variant 26,Unisex,Floral,100,243,8,Yes,No,Yes,3.9,4729,2030-10-08,2032-10-07,India,Roll-on,27,9219,Yes,24,Myntra
Envy Deo,Variant 10,Men,Fruity,200,404,11,Yes,No,Yes,4.6,4625,2030-10-09,2032-10-08,India,Stick,16,5043,Yes,35,Amazon
Denver Deo for Men,Variant 46,Unisex,Spicy,150,186,11,No,Yes,Yes,3.8,4064,2030-10-10,2032-10-09,India,Roll-on,20,1407,No,48,Amazon
Rexona Deodorant,Variant 25,Unisex,Citrus,250,635,14,Yes,Yes,Yes,4.1,398,2030-10-11,2032-10-10,India,Roll-on,15,5404,No,21,Amazon
Denver Deo for Men,Variant 27,Unisex,Floral,150,262,14,No,No,Yes,4.4,704,2030-10-12,2032-10-11,India,Spray,29,5056,No,16,Amazon
Rexona Deodorant,Variant 25,Women,Oriental,250,622,14,No,Yes,Yes,4.0,2379,2030-10-13,2032-10-12,India,Stick,24,8585,No,29,Flipkart
Fogg Deo,Variant 18,Women,Woody,250,319,4,Yes,Yes,Yes,4.3,57,2030-10-14,2032-10-13,India,Stick,12,2575,No,22,Local Store
Envy Deo,Variant 20,Unisex,Oriental,200,694,17,Yes,No,Yes,4.9,349,2030-10-15,2032-10-14,India,Stick,29,9121,Yes,27,Local Store
Rexona Deodorant,Variant 42,Unisex,Oriental,200,358,9,No,No,No,5.0,3632,2030-10-16,2032-10-15,India,Roll-on,28,123,Yes,45,Flipkart
Fogg Deo,Variant 4,Unisex,Aquatic,100,540,19,Yes,Yes,Yes,4.4,4428,2030-10-17,2032-10-16,India,Stick,18,700,No,23,Local Store
Park Avenue Deodorant,Variant 11,Women,Oriental,200,546,22,No,Yes,Yes,2.6,4641,2030-10-18,2032-10-17,India,Roll-on,36,8573,Yes,20,Amazon
Park Avenue Deodorant,Variant 48,Men,Fruity,250,576,17,Yes,No,Yes,3.4,4946,2030-10-19,2032-10-18,India,Roll-on,24,2945,Yes,12,Myntra
Nivea,Variant 12,Unisex,Citrus,150,399,11,Yes,No,No,4.5,3715,2030-10-20,2032-10-19,India,Spray,24,5071,No,38,Flipkart
Rexona Deodorant,Variant 48,Unisex,Fresh,100,481,17,No,Yes,No,3.5,4517,2030-10-21,2032-10-20,India,Spray,25,5880,No,33,Amazon
Nivea,Variant 27,Women,Oriental,100,657,11,No,No,Yes,4.9,4771,2030-10-22,2032-10-21,India,Stick,13,9551,Yes,17,Nykaa
Envy Deo,Variant 9,Men,Spicy,200,682,22,Yes,Yes,No,3.9,975,2030-10-23,2032-10-22,India,Roll-on,14,8614,Yes,14,Myntra
Fogg Deo,Variant 18,Unisex,Fruity,150,384,16,No,No,Yes,3.3,4592,2030-10-24,2032-10-23,India,Stick,12,7034,No,49,Myntra
Fogg Deo,Variant 23,Women,Fresh,100,214,22,No,Yes,Yes,2.9,3772,2030-10-25,2032-10-24,India,Spray,18,7273,No,1,Local Store
Nivea,Variant 21,Women,Citrus,250,445,21,No,Yes,Yes,4.4,928,2030-10-26,2032-10-25,India,Spray,31,7318,No,16,Local Store
Denver Deo for Men,Variant 1,Men,Fruity,100,534,14,No,No,No,3.7,3065,2030-10-27,2032-10-26,India,Stick,18,324,Yes,46,Myntra
Denver Deo for Men,Variant 44,Women,Fresh,150,690,24,Yes,Yes,Yes,4.2,1261,2030-10-28,2032-10-27,India,Stick,31,2184,No,14,Amazon
Engage Deo,Variant 15,Men,Oriental,200,517,23,Yes,Yes,Yes,3.7,1582,2030-10-29,2032-10-28,India,Stick,34,4288,No,3,Flipkart
Denver Deo for Men,Variant 41,Men,Fresh,250,670,20,Yes,Yes,Yes,3.3,1074,2030-10-30,2032-10-29,India,Roll-on,15,3586,No,12,Flipkart
Denver Deo for Men,Variant 28,Unisex,Spicy,150,167,19,No,No,No,4.2,1421,2030-10-31,2032-10-30,India,Spray,12,1822,Yes,27,Myntra
Park Avenue Deodorant,Variant 36,Women,Floral,100,487,5,Yes,No,Yes,2.9,4135,2030-11-01,2032-10-31,India,Spray,36,7255,Yes,2,Amazon
Nike Deodorant,Variant 16,Unisex,Fresh,150,447,12,No,Yes,Yes,3.8,3703,2030-11-02,2032-11-01,India,Stick,27,1127,Yes,27,Flipkart
Nivea,Variant 25,Unisex,Woody,200,371,19,Yes,No,Yes,2.8,2015,2030-11-03,2032-11-02,India,Spray,19,1821,Yes,8,Amazon
Envy Deo,Variant 15,Unisex,Citrus,250,423,19,No,No,Yes,2.7,2338,2030-11-04,2032-11-03,India,Roll-on,32,8062,No,34,Flipkart
Nike Deodorant,Variant 44,Men,Floral,200,492,13,No,Yes,No,3.9,2998,2030-11-05,2032-11-04,India,Stick,18,9790,Yes,19,Nykaa
Engage Deo,Variant 33,Unisex,Oriental,150,153,11,No,Yes,Yes,4.5,1922,2030-11-06,2032-11-05,India,Roll-on,28,922,No,28,Flipkart
Envy Deo,Variant 5,Unisex,Oriental,250,692,6,Yes,Yes,No,4.1,923,2030-11-07,2032-11-06,India,Stick,12,4178,No,27,Amazon
Fogg Deo,Variant 37,Men,Fresh,200,541,7,Yes,Yes,Yes,3.5,4359,2030-11-08,2032-11-07,India,Spray,18,1886,Yes,1,Amazon
Denver Deo for Men,Variant 15,Women,Floral,200,492,9,No,Yes,Yes,3.9,239,2030-11-09,2032-11-08,India,Stick,16,2507,No,17,Myntra
Nike Deodorant,Variant 43,Men,Spicy,100,225,13,No,No,Yes,4.6,3238,2030-11-10,2032-11-09,India,Spray,28,482,No,0,Myntra
Park Avenue Deodorant,Variant 12,Women,Spicy,150,594,8,No,Yes,Yes,4.4,1277,2030-11-11,2032-11-10,India,Spray,20,8735,Yes,47,Local Store
Nike Deodorant,Variant 31,Unisex,Fruity,250,616,10,No,Yes,No,4.1,3834,2030-11-12,2032-11-11,India,Roll-on,15,3943,Yes,4,Nykaa
Envy Deo,Variant 22,Women,Floral,250,188,23,No,Yes,No,3.6,1481,2030-11-13,2032-11-12,India,Stick,33,7803,No,24,Nykaa
Nike Deodorant,Variant 12,Women,Citrus,250,558,4,No,No,Yes,3.4,2782,2030-11-14,2032-11-13,India,Spray,31,4313,No,7,Myntra
Nivea,Variant 30,Unisex,Floral,150,608,4,Yes,No,Yes,4.0,3072,2030-11-15,2032-11-14,India,Spray,12,4431,No,8,Myntra
Engage Deo,Variant 25,Unisex,Fresh,200,487,4,No,Yes,Yes,3.9,3534,2030-11-16,2032-11-15,India,Stick,31,7881,No,49,Nykaa
Engage Deo,Variant 44,Women,Spicy,200,241,4,No,No,No,5.0,2193,2030-11-17,2032-11-16,India,Stick,36,1964,Yes,24,Amazon
Nike Deodorant,Variant 37,Men,Floral,150,401,20,Yes,No,No,4.7,3409,2030-11-18,2032-11-17,India,Spray,24,1749,No,40,Local Store
Rexona Deodorant,Variant 6,Unisex,Spicy,200,670,19,Yes,Yes,No,3.1,2915,2030-11-19,2032-11-18,India,Roll-on,29,1688,No,22,Myntra
Envy Deo,Variant 12,Women,Citrus,100,449,24,No,No,No,4.3,4503,2030-11-20,2032-11-19,India,Stick,24,8726,Yes,17,Myntra
Envy Deo,Variant 35,Women,Oriental,100,535,20,Yes,Yes,No,3.7,4984,2030-11-21,2032-11-20,India,Stick,21,7246,Yes,13,Amazon
Fogg Deo,Variant 29,Women,Woody,200,308,10,Yes,No,Yes,3.4,164,2030-11-22,2032-11-21,India,Roll-on,28,6865,No,0,Myntra
Nike Deodorant,Variant 11,Women,Aquatic,250,644,23,Yes,Yes,No,3.3,2770,2030-11-23,2032-11-22,India,Roll-on,13,9852,Yes,42,Myntra
Nivea,Variant 37,Women,Aquatic,200,650,15,No,No,No,3.5,1943,2030-11-24,2032-11-23,India,Stick,21,4590,No,14,Amazon
Fogg Deo,Variant 6,Women,Floral,200,519,13,Yes,No,Yes,3.9,3507,2030-11-25,2032-11-24,India,Stick,35,8758,Yes,7,Amazon
Park Avenue Deodorant,Variant 29,Unisex,Citrus,150,411,6,Yes,Yes,Yes,2.8,2519,2030-11-26,2032-11-25,India,Stick,18,8504,No,43,Myntra
Nivea,Variant 38,Women,Fresh,200,456,23,Yes,No,No,3.4,83,2030-11-27,2032-11-26,India,Stick,20,3317,Yes,1,Nykaa
Rexona Deodorant,Variant 46,Men,Woody,100,470,24,No,Yes,Yes,2.5,2296,2030-11-28,2032-11-27,India,Roll-on,34,9125,Yes,17,Myntra
Fogg Deo,Variant 32,Women,Spicy,100,625,10,No,No,No,3.1,3746,2030-11-29,2032-11-28,India,Spray,22,3091,No,17,Flipkart
Rexona Deodorant,Variant 31,Unisex,Fresh,250,281,24,No,Yes,Yes,2.5,2495,2030-11-30,2032-11-29,India,Stick,23,1873,Yes,36,Myntra
Park Avenue Deodorant,Variant 20,Unisex,Fruity,200,186,7,No,Yes,No,2.8,1881,2030-12-01,2032-11-30,India,Spray,35,3847,No,28,Flipkart
Engage Deo,Variant 5,Women,Fresh,100,198,20,No,Yes,No,3.7,566,2030-12-02,2032-12-01,India,Roll-on,26,6513,Yes,27,Flipkart
Denver Deo for Men,Variant 10,Women,Woody,100,234,20,Yes,Yes,Yes,4.6,983,2030-12-03,2032-12-02,India,Roll-on,24,9164,Yes,22,Amazon
Nike Deodorant,Variant 4,Unisex,Spicy,200,377,16,Yes,No,No,2.6,602,2030-12-04,2032-12-03,India,Stick,30,7752,Yes,32,Amazon
Engage Deo,Variant 33,Men,Fruity,100,697,20,Yes,Yes,No,4.0,434,2030-12-05,2032-12-04,India,Roll-on,30,9097,Yes,46,Myntra
Rexona Deodorant,Variant 29,Women,Spicy,150,485,22,No,No,Yes,2.9,2719,2030-12-06,2032-12-05,India,Stick,20,2056,No,17,Nykaa
Engage Deo,Variant 10,Unisex,Citrus,150,608,19,No,Yes,Yes,3.4,3595,2030-12-07,2032-12-06,India,Roll-on,31,7704,Yes,48,Local Store
Park Avenue Deodorant,Variant 48,Unisex,Spicy,200,306,16,No,Yes,Yes,4.3,2483,2030-12-08,2032-12-07,India,Spray,16,7532,Yes,25,Myntra
Fogg Deo,Variant 47,Unisex,Fruity,200,480,10,No,No,Yes,2.9,953,2030-12-09,2032-12-08,India,Spray,28,7698,No,28,Amazon
Rexona Deodorant,Variant 18,Unisex,Spicy,250,601,23,Yes,Yes,Yes,3.2,197,2030-12-10,2032-12-09,India,Roll-on,24,9928,No,34,Nykaa
Envy Deo,Variant 31,Unisex,Fresh,250,326,4,No,Yes,No,2.5,3489,2030-12-11,2032-12-10,India,Roll-on,26,4509,Yes,24,Local Store
Park Avenue Deodorant,Variant 45,Women,Floral,100,493,9,Yes,No,No,4.7,1391,2030-12-12,2032-12-11,India,Stick,21,1905,Yes,22,Local Store
Nivea,Variant 31,Unisex,Aquatic,100,448,9,Yes,No,No,4.5,3201,2030-12-13,2032-12-12,India,Roll-on,22,8568,Yes,17,Nykaa
Park Avenue Deodorant,Variant 47,Unisex,Floral,150,406,11,No,No,No,4.6,2101,2030-12-14,2032-12-13,India,Spray,24,6769,No,43,Myntra
Park Avenue Deodorant,Variant 5,Men,Floral,100,158,5,No,Yes,Yes,4.5,1794,2030-12-15,2032-12-14,India,Stick,31,1392,No,29,Amazon
Denver Deo for Men,Variant 8,Unisex,Floral,250,205,22,Yes,No,No,4.1,2684,2030-12-16,2032-12-15,India,Spray,23,8975,Yes,46,Local Store
Nike Deodorant,Variant 44,Unisex,Spicy,100,485,5,Yes,No,Yes,2.8,785,2030-12-17,2032-12-16,India,Stick,12,5715,Yes,21,Nykaa
Fogg Deo,Variant 32,Women,Spicy,200,592,16,No,No,Yes,4.1,2729,2030-12-18,2032-12-17,India,Spray,35,436,No,36,Local Store
Rexona Deodorant,Variant 3,Men,Oriental,150,288,20,Yes,Yes,No,4.0,2637,2030-12-19,2032-12-18,India,Roll-on,19,1537,Yes,32,Amazon
Denver Deo for Men,Variant 5,Unisex,Woody,100,561,13,No,No,Yes,3.6,3127,2030-12-20,2032-12-19,India,Stick,35,9762,No,6,Flipkart
Envy Deo,Variant 20,Unisex,Fruity,200,505,20,No,No,Yes,4.4,1744,2030-12-21,2032-12-20,India,Stick,28,1223,No,34,Flipkart
Nivea,Variant 30,Unisex,Citrus,200,677,21,No,No,Yes,2.6,941,2030-12-22,2032-12-21,India,Stick,26,9781,Yes,50,Myntra
Envy Deo,Variant 34,Men,Citrus,100,199,8,Yes,Yes,Yes,2.8,3017,2030-12-23,2032-12-22,India,Spray,16,4957,Yes,1,Amazon
Denver Deo for Men,Variant 25,Unisex,Spicy,100,605,15,No,No,Yes,3.3,3927,2030-12-24,2032-12-23,India,Stick,20,1722,No,45,Amazon
Rexona Deodorant,Variant 29,Men,Aquatic,200,234,6,No,Yes,Yes,3.4,3366,2030-12-25,2032-12-24,India,Stick,25,7763,Yes,13,Myntra
Fogg Deo,Variant 8,Women,Floral,200,160,12,No,Yes,Yes,4.3,59,2030-12-26,2032-12-25,India,Spray,27,4307,No,6,Amazon
Engage Deo,Variant 37,Women,Fresh,100,152,6,No,No,No,4.5,4343,2030-12-27,2032-12-26,India,Spray,32,4345,Yes,13,Flipkart
Rexona Deodorant,Variant 25,Men,Oriental,100,596,12,Yes,Yes,Yes,4.9,3286,2030-12-28,2032-12-27,India,Roll-on,26,9590,Yes,24,Myntra
Nike Deodorant,Variant 34,Men,Aquatic,250,426,9,Yes,Yes,No,3.1,1377,2030-12-29,2032-12-28,India,Spray,19,7809,Yes,14,Myntra
Rexona Deodorant,Variant 20,Women,Fruity,250,685,22,Yes,Yes,Yes,2.7,3627,2030-12-30,2032-12-29,India,Stick,26,229,Yes,11,Myntra
Envy Deo,Variant 30,Unisex,Citrus,100,241,16,Yes,Yes,No,5.0,3474,2030-12-31,2032-12-30,India,Roll-on,33,2332,Yes,27,Local Store
Rexona Deodorant,Variant 36,Women,Floral,200,268,19,Yes,Yes,Yes,3.9,2234,2031-01-01,2032-12-31,India,Spray,13,529,No,25,Amazon
Park Avenue Deodorant,Variant 44,Unisex,Aquatic,200,572,10,No,No,Yes,3.1,2111,2031-01-02,2033-01-01,India,Stick,34,2906,No,47,Local Store
Nivea,Variant 21,Women,Fresh,150,377,15,No,Yes,Yes,3.7,91,2031-01-03,2033-01-02,India,Stick,23,2616,Yes,18,Local Store
Envy Deo,Variant 5,Women,Spicy,150,615,13,Yes,No,Yes,4.4,4521,2031-01-04,2033-01-03,India,Spray,36,4205,No,33,Local Store
Denver Deo for Men,Variant 6,Men,Fruity,200,189,23,Yes,No,Yes,3.8,3601,2031-01-05,2033-01-04,India,Roll-on,22,6430,No,27,Myntra
Nike Deodorant,Variant 20,Unisex,Oriental,100,459,13,No,No,No,4.8,157,2031-01-06,2033-01-05,India,Spray,24,110,Yes,23,Local Store
Nivea,Variant 21,Women,Woody,150,330,6,Yes,Yes,Yes,3.2,2743,2031-01-07,2033-01-06,India,Stick,32,5500,Yes,8,Myntra
Envy Deo,Variant 41,Women,Floral,250,521,18,Yes,No,Yes,3.3,4552,2031-01-08,2033-01-07,India,Spray,33,4044,Yes,43,Myntra
Fogg Deo,Variant 37,Women,Floral,100,541,10,Yes,No,No,3.1,4200,2031-01-09,2033-01-08,India,Stick,26,8997,Yes,29,Myntra
Denver Deo for Men,Variant 18,Men,Fruity,250,457,10,No,Yes,Yes,4.2,1676,2031-01-10,2033-01-09,India,Spray,15,3234,Yes,20,Flipkart
Park Avenue Deodorant,Variant 7,Unisex,Citrus,150,697,13,Yes,Yes,Yes,4.5,1126,2031-01-11,2033-01-10,India,Stick,35,457,No,34,Myntra
Engage Deo,Variant 35,Unisex,Fresh,100,507,11,Yes,No,Yes,4.7,2234,2031-01-12,2033-01-11,India,Spray,23,1455,No,50,Amazon
Rexona Deodorant,Variant 6,Unisex,Aquatic,150,569,10,No,No,Yes,4.7,1176,2031-01-13,2033-01-12,India,Spray,26,6499,No,28,Nykaa
Envy Deo,Variant 7,Men,Fruity,100,208,9,Yes,No,Yes,2.6,3193,2031-01-14,2033-01-13,India,Spray,33,1817,No,26,Nykaa
Nike Deodorant,Variant 6,Men,Aquatic,250,654,6,No,No,No,5.0,4681,2031-01-15,2033-01-14,India,Stick,32,5648,No,46,Nykaa
Nivea,Variant 35,Women,Oriental,150,485,22,Yes,Yes,No,4.8,3354,2031-01-16,2033-01-15,India,Spray,15,3754,Yes,33,Flipkart
Nivea,Variant 37,Men,Oriental,100,630,16,No,No,No,3.2,4502,2031-01-17,2033-01-16,India,Spray,27,383,Yes,37,Amazon
Fogg Deo,Variant 9,Men,Fruity,100,526,6,No,Yes,Yes,2.8,1546,2031-01-18,2033-01-17,India,Stick,26,9041,No,32,Amazon
Nike Deodorant,Variant 32,Women,Floral,200,202,4,No,Yes,No,4.3,3841,2031-01-19,2033-01-18,India,Spray,18,3814,Yes,14,Myntra
